trace,scheduler,n,read_ops_per_tx,write_ops_per_tx,median_tps,median_avg_micros,stdev_tps,tps_speedup_vs_default,tps_delta_pct_vs_default,latency_delta_pct_vs_default
payment,default,1,3.0,3.0,378046.0,2.64518,0.0,1.0,0.0,0.0
payment,scx_prev,1,3.0,3.0,483387.0,2.06874,0.0,1.2786459848801468,27.86459848801468,-21.79208976326752
payment,scx_p2dq,1,3.0,3.0,486123.0,2.05709,0.0,1.285883199399015,28.588319939901496,-22.232513477343684
payment,scx_rusty,1,3.0,3.0,365810.0,2.73366,0.0,0.9676335684017289,-3.236643159827113,3.3449519503398584
