access_pattern,block_size,buffer_size,buffer_size_gb_requested,command,cpu_node,device_path,duration_requested,enable_numa,interleave_nodes,is_cxl_mem,memory_numa_node,mode,mode_label,num_readers,num_threads,num_writers,numa_node,random_access,read_bandwidth_mbps,read_iops,read_ratio,read_ratio_requested,returncode,status,test_duration,threads_requested,total_bandwidth_mbps,total_iops,total_read_bytes,total_read_ops,total_write_bytes,total_write_ops,use_mmap,used_numa_alloc,wall_clock_s,write_bandwidth_mbps,write_iops
random,4096,268435456,0.25,numactl --cpunodebind=0 --interleave=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 268435456 --threads 4 --duration 1 --read-ratio 0.5 --json --no-numa --random,0,,1,False,0,False,-1,numactl_local,numactl interleave local DRAM,2,4,2,0,True,11353.5,2906500.0,0.5,0.5,0,success,1.00012,4,23152,5926920.0,11906490368,2906858,12373151744,3020789,False,False,1.1118645668029785,11798.5,3020420.0
random,4096,268435456,0.25,numactl --cpunodebind=0 --interleave=1 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 268435456 --threads 4 --duration 1 --read-ratio 0.5 --json --no-numa --random,0,,1,False,1,False,-1,numactl_cxl,numactl interleave CXL,2,4,2,0,True,8329.19,2132270.0,0.5,0.5,0,success,1.00012,4,16287.9,4169700.0,8734801920,2132520,8346279936,2037666,False,False,1.1198139190673828,7958.71,2037430.0
random,4096,268435456,0.25,"numactl --cpunodebind=0 --interleave=0,1 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 268435456 --threads 4 --duration 1 --read-ratio 0.5 --json --no-numa --random",0,,1,False,"0,1",False,-1,numactl_local_cxl,numactl interleave local DRAM + CXL,2,4,2,0,True,12888.1,3299340.0,0.5,0.5,0,success,1.00012,4,25895.1,6629150.0,13515665408,3299723,13640445952,3330187,False,False,1.110975980758667,13007,3329800.0
random,4096,268435456,0.25,"numactl --cpunodebind=0 --interleave=0,1 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 268435456 --threads 4 --duration 1 --read-ratio 0.5 --json --no-numa --random",0,,1,False,"0,1",False,-1,scx_cxl,scx_cxl scheduler with local DRAM + CXL interleave,2,4,2,0,True,8775.23,2246460.0,0.5,0.5,0,success,1.00007,4,18143,4644620.0,9202110464,2246609,9823522816,2398321,False,False,1.1168889999389648,9367.81,2398160.0
