buffer_size_gb,command,config,cpu_node,duration,enable_numa,label,mem_node,memory_numa_node,num_readers,num_writers,numa_node,random_access,read_bandwidth_mbps,read_ratio,returncode,status,stderr,stdout,test_duration,threads,total_bandwidth_mbps,total_iops,used_numa_alloc,wall_clock_s,write_bandwidth_mbps
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 0.95 --json --random,local_dram,0,10,True,Local DRAM,0,0,3,1,0,True,1993.82,0.95,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 0.95,
  ""num_readers"": 3,
  ""num_writers"": 1,
  ""read_bandwidth_mbps"": 1993.82,
  ""read_iops"": 510418,
  ""write_bandwidth_mbps"": 666.519,
  ""write_iops"": 170629,
  ""total_bandwidth_mbps"": 2660.34,
  ""total_iops"": 681047,
  ""total_read_bytes"": 20906876928,
  ""total_write_bytes"": 6989017088,
  ""total_read_ops"": 5104218,
  ""total_write_ops"": 1706303,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2660.34,681047,True,35.07394790649414,666.519
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 4 --duration 10 --read-ratio 1.0 --json --random,local_dram,0,10,True,Local DRAM,0,0,4,0,0,True,2650.21,1.0,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 4,
  ""read_ratio"": 1,
  ""num_readers"": 4,
  ""num_writers"": 0,
  ""read_bandwidth_mbps"": 2650.21,
  ""read_iops"": 678454,
  ""write_bandwidth_mbps"": 0,
  ""write_iops"": 0,
  ""total_bandwidth_mbps"": 2650.21,
  ""total_iops"": 678454,
  ""total_read_bytes"": 27789737984,
  ""total_write_bytes"": 0,
  ""total_read_ops"": 6784604,
  ""total_write_ops"": 0,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,4,2650.21,678454,True,35.17934560775757,0
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 16 --duration 10 --read-ratio 0.0 --json --random,local_dram,0,10,True,Local DRAM,0,0,0,16,0,True,0,0.0,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 16,
  ""read_ratio"": 0,
  ""num_readers"": 0,
  ""num_writers"": 16,
  ""read_bandwidth_mbps"": 0,
  ""read_iops"": 0,
  ""write_bandwidth_mbps"": 7462.38,
  ""write_iops"": 1.91037e+06,
  ""total_bandwidth_mbps"": 7462.38,
  ""total_iops"": 1.91037e+06,
  ""total_read_bytes"": 0,
  ""total_write_bytes"": 78249402368,
  ""total_read_ops"": 0,
  ""total_write_ops"": 19103858,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,16,7462.38,1910370.0,True,36.64314389228821,7462.38
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 16 --duration 10 --read-ratio 0.15 --json --random,local_dram,0,10,True,Local DRAM,0,0,2,14,0,True,933.114,0.15,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 16,
  ""read_ratio"": 0.15,
  ""num_readers"": 2,
  ""num_writers"": 14,
  ""read_bandwidth_mbps"": 933.114,
  ""read_iops"": 238877,
  ""write_bandwidth_mbps"": 6513.77,
  ""write_iops"": 1.66753e+06,
  ""total_bandwidth_mbps"": 7446.89,
  ""total_iops"": 1.9064e+06,
  ""total_read_bytes"": 9784500224,
  ""total_write_bytes"": 68302479360,
  ""total_read_ops"": 2388794,
  ""total_write_ops"": 16675410,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,16,7446.89,1906400.0,True,35.65429759025574,6513.77
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 16 --duration 10 --read-ratio 0.25 --json --random,local_dram,0,10,True,Local DRAM,0,0,4,12,0,True,1881.83,0.25,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 16,
  ""read_ratio"": 0.25,
  ""num_readers"": 4,
  ""num_writers"": 12,
  ""read_bandwidth_mbps"": 1881.83,
  ""read_iops"": 481749,
  ""write_bandwidth_mbps"": 5650.66,
  ""write_iops"": 1.44657e+06,
  ""total_bandwidth_mbps"": 7532.49,
  ""total_iops"": 1.92832e+06,
  ""total_read_bytes"": 19732627456,
  ""total_write_bytes"": 59252035584,
  ""total_read_ops"": 4817536,
  ""total_write_ops"": 14465829,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,16,7532.49,1928320.0,True,36.46937680244446,5650.66
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 16 --duration 10 --read-ratio 0.35 --json --random,local_dram,0,10,True,Local DRAM,0,0,5,11,0,True,2393.53,0.35,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 16,
  ""read_ratio"": 0.35,
  ""num_readers"": 5,
  ""num_writers"": 11,
  ""read_bandwidth_mbps"": 2393.53,
  ""read_iops"": 612744,
  ""write_bandwidth_mbps"": 5276.06,
  ""write_iops"": 1.35067e+06,
  ""total_bandwidth_mbps"": 7669.59,
  ""total_iops"": 1.96342e+06,
  ""total_read_bytes"": 25098235904,
  ""total_write_bytes"": 55324033024,
  ""total_read_ops"": 6127499,
  ""total_write_ops"": 13506844,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,16,7669.59,1963420.0,True,36.665472745895386,5276.06
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 16 --duration 10 --read-ratio 0.45 --json --random,local_dram,0,10,True,Local DRAM,0,0,7,9,0,True,3352.19,0.45,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 16,
  ""read_ratio"": 0.45,
  ""num_readers"": 7,
  ""num_writers"": 9,
  ""read_bandwidth_mbps"": 3352.19,
  ""read_iops"": 858161,
  ""write_bandwidth_mbps"": 4299.06,
  ""write_iops"": 1.10056e+06,
  ""total_bandwidth_mbps"": 7651.25,
  ""total_iops"": 1.95872e+06,
  ""total_read_bytes"": 35150602240,
  ""total_write_bytes"": 45079330816,
  ""total_read_ops"": 8581690,
  ""total_write_ops"": 11005696,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,16,7651.25,1958720.0,True,35.66958522796631,4299.06
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 16 --duration 10 --read-ratio 0.5 --json --random,local_dram,0,10,True,Local DRAM,0,0,8,8,0,True,3835,0.5,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 16,
  ""read_ratio"": 0.5,
  ""num_readers"": 8,
  ""num_writers"": 8,
  ""read_bandwidth_mbps"": 3835,
  ""read_iops"": 981759,
  ""write_bandwidth_mbps"": 3837.81,
  ""write_iops"": 982479,
  ""total_bandwidth_mbps"": 7672.81,
  ""total_iops"": 1.96424e+06,
  ""total_read_bytes"": 40213172224,
  ""total_write_bytes"": 40242659328,
  ""total_read_ops"": 9817669,
  ""total_write_ops"": 9824868,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,16,7672.81,1964240.0,True,35.54466795921326,3837.81
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 16 --duration 10 --read-ratio 0.55 --json --random,local_dram,0,10,True,Local DRAM,0,0,8,8,0,True,3835.99,0.55,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 16,
  ""read_ratio"": 0.55,
  ""num_readers"": 8,
  ""num_writers"": 8,
  ""read_bandwidth_mbps"": 3835.99,
  ""read_iops"": 982014,
  ""write_bandwidth_mbps"": 3839.52,
  ""write_iops"": 982917,
  ""total_bandwidth_mbps"": 7675.51,
  ""total_iops"": 1.96493e+06,
  ""total_read_bytes"": 40223617024,
  ""total_write_bytes"": 40260616192,
  ""total_read_ops"": 9820219,
  ""total_write_ops"": 9829252,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,16,7675.51,1964930.0,True,35.84192872047424,3839.52
64.0,/root/schedcp/workloads/cxl-micro/double_bandwidth -N 0 -M 0 --buffer-size 68719476736 --threads 16 --duration 10 --read-ratio 0.65 --json --random,local_dram,0,10,True,Local DRAM,0,0,10,6,0,True,4856.41,0.65,0,success,,"{
  ""test_duration"": 10.0001,
  ""buffer_size"": 68719476736,
  ""block_size"": 4096,
  ""num_threads"": 16,
  ""read_ratio"": 0.65,
  ""num_readers"": 10,
  ""num_writers"": 6,
  ""read_bandwidth_mbps"": 4856.41,
  ""read_iops"": 1.24324e+06,
  ""write_bandwidth_mbps"": 2914.87,
  ""write_iops"": 746208,
  ""total_bandwidth_mbps"": 7771.28,
  ""total_iops"": 1.98945e+06,
  ""total_read_bytes"": 50923552768,
  ""total_write_bytes"": 30564917248,
  ""total_read_ops"": 12432508,
  ""total_write_ops"": 7462138,
  ""numa_node"": 0,
  ""enable_numa"": true,
  ""memory_numa_node"": 0,
  ""used_numa_alloc"": true,
  ""device_path"": """",
  ""use_mmap"": false,
  ""is_cxl_mem"": false,
  ""random_access"": true
}
",10.0001,16,7771.28,1989450.0,True,36.763373613357544,2914.87
