trace,scheduler,n,read_ops_per_tx,write_ops_per_tx,median_tps,median_avg_micros,stdev_tps,tps_speedup_vs_default,tps_delta_pct_vs_default,latency_delta_pct_vs_default
new_order,default,3,13.0,12.0,361570.0,2.76572,3777.6251799245515,1.0,0.0,0.0
new_order,scx_prev,3,13.0,12.0,339878.0,2.94224,4538.39534784414,0.9400060845756009,-5.999391542439914,6.382424829700772
new_order,scx_p2dq,3,13.0,12.0,346498.0,2.88602,3769.376650499832,0.9583151257018004,-4.168487429819956,4.34968109570022
new_order,scx_rusty,3,13.0,12.0,343035.0,2.91515,10000.883277657696,0.9487374505628232,-5.1262549437176785,5.4029330517912255
payment,default,3,3.0,3.0,990433.0,1.00966,8508.939201412437,1.0,0.0,0.0
payment,scx_prev,3,3.0,3.0,909181.0,1.09989,11813.860348477687,0.9179631534894334,-8.203684651056664,8.936671750886438
payment,scx_p2dq,3,3.0,3.0,936943.0,1.0673,16545.073556802337,0.9459933180740141,-5.40066819259859,5.708852484994931
payment,scx_rusty,3,3.0,3.0,930115.0,1.07514,4937.983427810723,0.9390993636116729,-6.09006363883271,6.485351504466852
order_status,default,3,7.0,0.0,6765110.0,0.147817,368507.72542783956,1.0,0.0,0.0
order_status,scx_prev,3,7.0,0.0,6829080.0,0.146433,1807760.0205041966,1.0094558698971636,0.9455869897163627,-0.9362928485898037
order_status,scx_p2dq,3,7.0,0.0,3979400.0,0.251294,962627.7936461215,0.5882239904450925,-41.177600955490746,70.00345021208658
order_status,scx_rusty,3,7.0,0.0,4362510.0,0.229226,1748112.6335565452,0.6448542595759714,-35.514574042402856,55.07417955986118
delivery,default,3,3.0,3.0,848631.0,1.17837,5598.987140546047,1.0,0.0,0.0
delivery,scx_prev,3,3.0,3.0,761489.0,1.31322,3413.5114374106515,0.8973146161288004,-10.268538387119964,11.443774026833697
delivery,scx_p2dq,3,3.0,3.0,781690.0,1.27928,8766.225356446183,0.9211188372802784,-7.888116271972157,8.563524190194926
delivery,scx_rusty,3,3.0,3.0,802326.0,1.24638,11653.88262912122,0.9454356487095098,-5.456435129049019,5.7715318618091205
stock_level,default,3,33.0,0.0,1507180.0,0.663492,58195.64617162811,1.0,0.0,0.0
stock_level,scx_prev,3,33.0,0.0,1501480.0,0.666009,268283.72860338236,0.9962181026818296,-0.37818973181703575,0.3793564956321882
stock_level,scx_p2dq,3,33.0,0.0,1354480.0,0.738292,130635.71959205237,0.8986849613184889,-10.131503868151114,11.273685289347867
stock_level,scx_rusty,3,33.0,0.0,1198890.0,0.834108,227023.24541112524,0.7954524343475895,-20.45475656524105,25.71485413539274
